dataset,model,mode,repeat_index,accuracy,f1_micro,f1_macro,pcc,ace
TDT,Emobloom-7b,mondrian,9,0.4701492537313433,0.4701492537313433,0.4787765293383271,0.5102876477891238,0.032835820895522394
TDT,Emollama-7b,global,0,0.5538461538461539,0.5538461538461539,0.42885872297637007,0.35805032409397075,0.018461538461538463
TDT,Emollama-7b,global,1,0.5769230769230769,0.5769230769230769,0.491868608219727,0.4360195632529284,0.07230769230769232
TDT,Emollama-7b,global,2,0.5153846153846153,0.5153846153846153,0.3951040938284082,0.3648105246876285,0.03538461538461537
TDT,Emollama-7b,global,3,0.5846153846153846,0.5846153846153846,0.474038852214351,0.36651215322422387,0.041538461538461524
TDT,Emollama-7b,global,4,0.45384615384615384,0.45384615384615384,0.37774913082542283,0.37146648647372116,0.05230769230769231
TDT,Emollama-7b,global,5,0.5615384615384615,0.5615384615384615,0.4646981475035774,0.4367202555363707,0.027692307692307683
TDT,Emollama-7b,global,6,0.6692307692307692,0.6692307692307692,0.565156702601176,0.46686090948988956,0.0876923076923077
TDT,Emollama-7b,global,7,0.5461538461538461,0.5461538461538461,0.4357968828557064,0.3592642149012687,0.02615384615384615
TDT,Emollama-7b,global,8,0.6230769230769231,0.6230769230769231,0.4993337631635504,0.39938964618991857,0.06153846153846156
TDT,Emollama-7b,global,9,0.5692307692307692,0.5692307692307692,0.5082254285361943,0.46487947067223895,0.053846153846153835
TDT,Emollama-7b,hybrid,0,0.5538461538461539,0.5538461538461539,0.42885872297637007,0.35805032409397075,0.06000000000000001
