dataset,model,mode,alpha,repeat_index,coverage,interval_size,ece
E-c,Emobloom-7b,hybrid,0.7,0,0.3640552995391705,2.1904761904761907,0.06405529953917044
E-c,Emobloom-7b,hybrid,0.8,0,0.2519201228878648,1.7311827956989247,0.05192012288786485
E-c,Emobloom-7b,hybrid,0.9,0,0.19201228878648233,1.2488479262672811,0.09201228878648235
E-c,Emobloom-7b,hybrid,0.1,1,0.9216589861751152,8.285714285714286,0.02165898617511519
E-c,Emobloom-7b,hybrid,0.2,1,0.8325652841781874,6.33026113671275,0.03256528417818738
E-c,Emobloom-7b,hybrid,0.3,1,0.7634408602150538,5.087557603686636,0.0634408602150538
E-c,Emobloom-7b,hybrid,0.4,1,0.6912442396313364,4.170506912442396,0.09124423963133643
E-c,Emobloom-7b,hybrid,0.5,1,0.5913978494623656,3.2995391705069124,0.09139784946236562
E-c,Emobloom-7b,hybrid,0.6,1,0.500768049155146,2.6712749615975424,0.10076804915514592
E-c,Emobloom-7b,hybrid,0.7,1,0.39938556067588327,2.185867895545315,0.09938556067588322
E-c,Emobloom-7b,hybrid,0.8,1,0.27035330261136714,1.7726574500768049,0.07035330261136719
E-c,Emobloom-7b,hybrid,0.9,1,0.18740399385560677,1.2749615975422428,0.08740399385560679
E-c,Emobloom-7b,hybrid,0.1,2,0.9538461538461539,8.909230769230769,0.05384615384615388
E-c,Emobloom-7b,hybrid,0.2,2,0.8707692307692307,6.7615384615384615,0.0707692307692307
E-c,Emobloom-7b,hybrid,0.3,2,0.8076923076923077,5.450769230769231,0.10769230769230775
E-c,Emobloom-7b,hybrid,0.4,2,0.7,4.469230769230769,0.09999999999999998
E-c,Emobloom-7b,hybrid,0.5,2,0.5753846153846154,3.5907692307692307,0.07538461538461538
E-c,Emobloom-7b,hybrid,0.6,2,0.4723076923076923,2.792307692307692,0.0723076923076923
E-c,Emobloom-7b,hybrid,0.7,2,0.34923076923076923,2.193846153846154,0.04923076923076919
E-c,Emobloom-7b,hybrid,0.8,2,0.2230769230769231,1.6107692307692307,0.023076923076923134
E-c,Emobloom-7b,hybrid,0.9,2,0.14307692307692307,1.22,0.043076923076923096
E-c,Emobloom-7b,hybrid,0.1,3,0.9371165644171779,9.001533742331288,0.03711656441717792
E-c,Emobloom-7b,hybrid,0.2,3,0.8588957055214724,6.897239263803681,0.058895705521472386
E-c,Emobloom-7b,hybrid,0.3,3,0.7699386503067485,5.460122699386503,0.0699386503067485
E-c,Emobloom-7b,hybrid,0.4,3,0.6886503067484663,4.579754601226994,0.0886503067484663
E-c,Emobloom-7b,hybrid,0.5,3,0.5874233128834356,3.6503067484662575,0.08742331288343563
E-c,Emobloom-7b,hybrid,0.6,3,0.4815950920245399,2.9524539877300615,0.08159509202453985
E-c,Emobloom-7b,hybrid,0.7,3,0.32975460122699385,2.151840490797546,0.029754601226993804
E-c,Emobloom-7b,hybrid,0.8,3,0.23159509202453987,1.710122699386503,0.03159509202453992
E-c,Emobloom-7b,hybrid,0.9,3,0.12576687116564417,1.1978527607361964,0.02576687116564419
E-c,Emobloom-7b,hybrid,0.1,4,0.9338461538461539,8.832307692307692,0.03384615384615386
E-c,Emobloom-7b,hybrid,0.2,4,0.8507692307692307,6.529230769230769,0.05076923076923068
E-c,Emobloom-7b,hybrid,0.3,4,0.796923076923077,5.523076923076923,0.096923076923077
E-c,Emobloom-7b,hybrid,0.4,4,0.7076923076923077,4.489230769230769,0.10769230769230775
E-c,Emobloom-7b,hybrid,0.5,4,0.5692307692307692,3.5476923076923077,0.0692307692307692
E-c,Emobloom-7b,hybrid,0.6,4,0.45692307692307693,2.78,0.05692307692307691
E-c,Emobloom-7b,hybrid,0.7,4,0.34615384615384615,2.269230769230769,0.0461538461538461
E-c,Emobloom-7b,hybrid,0.8,4,0.2169230769230769,1.676923076923077,0.016923076923076957
E-c,Emobloom-7b,hybrid,0.9,4,0.13076923076923078,1.2676923076923077,0.0307692307692308
E-c,Emobloom-7b,hybrid,0.1,5,0.9202453987730062,7.9447852760736195,0.02024539877300613
E-c,Emobloom-7b,hybrid,0.2,5,0.8205521472392638,6.078220858895706,0.020552147239263796
E-c,Emobloom-7b,hybrid,0.3,5,0.7638036809815951,4.964723926380368,0.06380368098159517
E-c,Emobloom-7b,hybrid,0.4,5,0.6702453987730062,4.08282208588957,0.07024539877300617
E-c,Emobloom-7b,hybrid,0.5,5,0.5797546012269938,3.3819018404907975,0.07975460122699385
E-c,Emobloom-7b,hybrid,0.6,5,0.4325153374233129,2.5874233128834354,0.03251533742331286
E-c,Emobloom-7b,hybrid,0.7,5,0.35429447852760737,2.2177914110429446,0.054294478527607326
E-c,Emobloom-7b,hybrid,0.8,5,0.27300613496932513,1.7776073619631902,0.07300613496932518
E-c,Emobloom-7b,hybrid,0.9,5,0.17331288343558282,1.2776073619631902,0.07331288343558284
E-c,Emobloom-7b,hybrid,0.1,6,0.9464012251148545,8.637059724349157,0.04640122511485445
E-c,Emobloom-7b,hybrid,0.2,6,0.8652373660030628,6.540581929555896,0.06523736600306274
E-c,Emobloom-7b,hybrid,0.3,6,0.7656967840735069,5.173047473200612,0.06569678407350699
E-c,Emobloom-7b,hybrid,0.4,6,0.6937212863705973,4.271056661562022,0.09372128637059729
E-c,Emobloom-7b,hybrid,0.5,6,0.6156202143950995,3.565084226646248,0.11562021439509951
E-c,Emobloom-7b,hybrid,0.6,6,0.4793261868300153,2.8238897396630933,0.0793261868300153
E-c,Emobloom-7b,hybrid,0.7,6,0.3537519142419602,2.1868300153139355,0.05375191424196013
E-c,Emobloom-7b,hybrid,0.8,6,0.1883614088820827,1.5712098009188362,0.011638591117917263
E-c,Emobloom-7b,hybrid,0.9,6,0.12098009188361408,1.2021439509954057,0.020980091883614105
E-c,Emobloom-7b,hybrid,0.1,7,0.9415384615384615,8.696923076923078,0.041538461538461524
